co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
NWFB,796S,將軍澳站,Tseung Kwan O Station,牛頭角站,Ngau Tau Kok Station,将军澳站,牛头角站,2020-05-22T05:00:02+08:00
NWFB,796X,將軍澳工業邨／將軍澳站,Tseung Kwan O Industrial Estate / Tseung Kwan O Station,尖沙咀 (東),Tsim Sha Tsui (East),将军澳工业邨／将军澳站,尖沙咀 (东),2020-05-22T05:00:02+08:00
NWFB,797M,將軍澳站,Tseung Kwan O Station,將軍澳工業邨,Tseung Kwan O Industrial Estate,将军澳站,将军澳工业邨,2020-05-22T05:00:02+08:00
NWFB,798,調景嶺站,Tiu Keng Leng Station,火炭 (經沙田),Fo Tan (via Sha Tin),调景岭站,火炭 (经沙田),2020-05-22T05:00:02+08:00
NWFB,798A,將軍澳 (康盛花園),Tseung Kwan O (Hong Sing Garden),沙田站,Sha Tin Station,将军澳 (康盛花园),沙田站,2020-05-22T05:00:02+08:00
NWFB,798B,日出康城,Lohas Park,沙田站,Sha Tin Station,日出康城,沙田站,2020-05-22T05:00:02+08:00
NWFB,8,杏花邨,Heng Fa Chuen,灣仔北,Wan Chai North,杏花邨,湾仔北,2020-05-22T05:00:02+08:00
NWFB,81,興華邨,Hing Wah Estate,勵德邨,Lai Tak Tsuen,兴华邨,励德邨,2020-05-22T05:00:02+08:00
NWFB,81A,興華邨,Hing Wah Estate,勵德邨,Lai Tak Tsuen,兴华邨,励德邨,2020-05-22T05:00:02+08:00
NWFB,81S,小西灣 (富欣花園),Siu Sai Wan (Harmony Garden),寶馬山,Braemar Hill,小西湾 (富欣花园),宝马山,2020-05-22T05:00:02+08:00
NWFB,82,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),北角碼頭,North Point Ferry Pier,小西湾 (蓝湾半岛),北角码头,2020-05-22T05:00:02+08:00
NWFB,82M,柴灣站,Chai Wan Station,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),柴湾站,小西湾 (蓝湾半岛),2020-05-22T05:00:02+08:00
NWFB,82S,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),耀東 (惠亨街),Yiu Tung (Wai Hang Street),小西湾 (蓝湾半岛),耀东 (惠亨街),2020-05-22T05:00:02+08:00
NWFB,82X,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),鰂魚涌,Quarry Bay,小西湾 (蓝湾半岛),鲗鱼涌,2020-05-22T05:00:02+08:00
NWFB,88X,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),堅尼地城 (卑路乍灣),Kennedy Town (Belcher Bay),小西湾 (蓝湾半岛),坚尼地城 (卑路乍湾),2020-05-22T05:00:02+08:00
NWFB,8H,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),東華東院,Tung Wah Eastern Hospital,小西湾 (蓝湾半岛),东华东院,2020-05-22T05:00:02+08:00
NWFB,8P,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),灣仔北,Wan Chai North,小西湾 (蓝湾半岛),湾仔北,2020-05-22T05:00:02+08:00
NWFB,9,筲箕灣,Shau Kei Wan,石澳,Shek O,筲箕湾,石澳,2020-05-22T05:00:02+08:00
NWFB,904,堅尼地城 (卑路乍灣),Kennedy Town (Belcher Bay),荔枝角,Lai Chi Kok,坚尼地城 (卑路乍湾),荔枝角,2020-05-22T05:00:02+08:00
NWFB,905,灣仔北,Wan Chai North,荔枝角,Lai Chi Kok,湾仔北,荔枝角,2020-05-22T05:00:02+08:00
NWFB,905A,灣仔北,Wan Chai North,荔枝角,Lai Chi Kok,湾仔北,荔枝角,2020-05-22T05:00:02+08:00
NWFB,905P,荔枝角,Lai Chi Kok,灣仔 (港灣道),Wan Chai (Harbour Road),荔枝角,湾仔 (港湾道),2020-05-22T05:00:02+08:00
NWFB,91,鴨脷洲邨,Ap Lei Chau Estate,中環碼頭,Central (Ferry Piers),鸭脷洲邨,中环码头,2020-05-22T05:00:02+08:00
